State,Age_Bracket,Age_Lower,Age_Upper,Race,Deaths,Bracket_Median_Age,Bracket_Mean_Age
South Dakota,10_19,10.0,19.0,Black,0.0,14.5,14.84
South Dakota,20_29,20.0,29.0,Black,0.0,24.5,24.46
South Dakota,30_39,30.0,39.0,Black,0.0,34.5,34.69
South Dakota,40_49,40.0,49.0,Black,2.0,44.5,44.3
South Dakota,50_59,50.0,59.0,Black,1.0,54.5,54.09
South Dakota,60_69,60.0,69.0,Black,2.0,64.5,64.3
South Dakota,70_79,70.0,79.0,Black,2.0,74.5,74.23
South Dakota,80+,80.0,,Black,0.0,80.0,85.19
California,0_17,0.0,17.0,Hispanic,6.0,8.5,8.58
California,18_34,18.0,34.0,Hispanic,497.0,26.0,26.03
California,35_49,35.0,49.0,Hispanic,2012.0,42.0,41.8
California,50_64,50.0,64.0,Hispanic,6478.0,57.0,56.12
California,65_79,65.0,79.0,Hispanic,8684.0,72.0,71.55
California,80+,80.0,,Hispanic,6299.0,80.0,85.19
Illinois,0_19,0.0,19.0,Hispanic,0.0,9.5,9.59
Illinois,20_29,20.0,29.0,Hispanic,28.0,24.5,24.46
Illinois,30_39,30.0,39.0,Hispanic,108.0,34.5,34.69
Illinois,40_49,40.0,49.0,Hispanic,263.0,44.5,44.3
Illinois,50_59,50.0,59.0,Hispanic,518.0,54.5,54.09
Illinois,60_69,60.0,69.0,Hispanic,792.0,64.5,64.3
Illinois,70_79,70.0,79.0,Hispanic,770.0,74.5,74.23
Illinois,80+,80.0,,Hispanic,779.0,80.0,85.19
Michigan,0_9,0.0,9.0,Hispanic,,4.5,4.58
Michigan,10_19,10.0,19.0,Hispanic,,14.5,14.84
Michigan,20_29,20.0,29.0,Hispanic,,24.5,24.46
Michigan,30_39,30.0,39.0,Hispanic,,34.5,34.69
Michigan,40_49,40.0,49.0,Hispanic,,44.5,44.3
Michigan,50_59,50.0,59.0,Hispanic,,54.5,54.09
Michigan,60_69,60.0,69.0,Hispanic,,64.5,64.3
Michigan,70_79,70.0,79.0,Hispanic,,74.5,74.23
Michigan,80+,80.0,,Hispanic,,80.0,85.19
New Mexico,18_44,18.0,44.0,Hispanic,88.0,31.0,31.6
New Mexico,45_64,45.0,64.0,Hispanic,353.0,54.5,53.14
New Mexico,65_74,65.0,74.0,Hispanic,367.0,69.5,69.34
New Mexico,75+,75.0,,Hispanic,661.0,75.0,81.49
South Dakota,0_9,0.0,9.0,Hispanic,0.0,4.5,4.58
South Dakota,10_19,10.0,19.0,Hispanic,0.0,14.5,14.84
South Dakota,20_29,20.0,29.0,Hispanic,1.0,24.5,24.46
South Dakota,30_39,30.0,39.0,Hispanic,1.0,34.5,34.69
South Dakota,40_49,40.0,49.0,Hispanic,1.0,44.5,44.3
South Dakota,50_59,50.0,59.0,Hispanic,2.0,54.5,54.09
South Dakota,60_69,60.0,69.0,Hispanic,7.0,64.5,64.3
South Dakota,70_79,70.0,79.0,Hispanic,4.0,74.5,74.23
South Dakota,80+,80.0,,Hispanic,7.0,80.0,85.19
California,0_17,0.0,17.0,Asian,2.0,8.5,8.58
California,18_34,18.0,34.0,Asian,38.0,26.0,26.03
California,35_49,35.0,49.0,Asian,170.0,42.0,41.8
California,50_64,50.0,64.0,Asian,730.0,57.0,56.12
California,65_79,65.0,79.0,Asian,1857.0,72.0,71.55
California,80+,80.0,,Asian,3200.0,80.0,85.19
Illinois,0_19,0.0,19.0,Asian,0.0,9.5,9.59
Illinois,20_29,20.0,29.0,Asian,0.0,24.5,24.46
Illinois,30_39,30.0,39.0,Asian,9.0,34.5,34.69
Illinois,40_49,40.0,49.0,Asian,20.0,44.5,44.3
Illinois,50_59,50.0,59.0,Asian,45.0,54.5,54.09
Illinois,60_69,60.0,69.0,Asian,118.0,64.5,64.3
Illinois,70_79,70.0,79.0,Asian,205.0,74.5,74.23
Illinois,80+,80.0,,Asian,336.0,80.0,85.19
Michigan,0_9,0.0,9.0,Asian,0.0,4.5,4.58
Michigan,10_19,10.0,19.0,Asian,0.0,14.5,14.84
Michigan,20_29,20.0,29.0,Asian,0.0,24.5,24.46
Michigan,30_39,30.0,39.0,Asian,0.0,34.5,34.69
Michigan,40_49,40.0,49.0,Asian,0.0,44.5,44.3
Michigan,50_59,50.0,59.0,Asian,6.0,54.5,54.09
Michigan,60_69,60.0,69.0,Asian,34.0,64.5,64.3
Michigan,70_79,70.0,79.0,Asian,56.0,74.5,74.23
Michigan,80+,80.0,,Asian,61.0,80.0,85.19
New Mexico,18_44,18.0,44.0,Asian,0.0,31.0,31.6
New Mexico,45_64,45.0,64.0,Asian,4.0,54.5,53.14
New Mexico,65_74,65.0,74.0,Asian,9.0,69.5,69.34
New Mexico,75+,75.0,,Asian,13.0,75.0,81.49
South Dakota,0_9,0.0,9.0,Asian,0.0,4.5,4.58
South Dakota,10_19,10.0,19.0,Asian,0.0,14.5,14.84
